FileIndex,InstanceName,Cost
1,c515-1,313
1,c515-2,327
1,c515-3,331
1,c515-4,321
1,c515-5,318
2,c520-1,391
2,c520-2,408
2,c520-3,377
2,c520-4,377
2,c520-5,391
3,c525-1,540
3,c525-2,512
3,c525-3,541
3,c525-4,544
3,c525-5,533
4,c530-1,610
4,c530-2,598
4,c530-3,548
4,c530-4,567
4,c530-5,597
5,c824-1,528
5,c824-2,512
5,c824-3,513
5,c824-4,529
5,c824-5,518
6,c832-1,675
6,c832-2,693
6,c832-3,675
6,c832-4,688
6,c832-5,644
7,c840-1,859
7,c840-2,832
7,c840-3,876
7,c840-4,836
7,c840-5,834
8,c848-1,1003
8,c848-2,992
8,c848-3,984
8,c848-4,985
8,c848-5,963
9,c1030-1,639
9,c1030-2,654
9,c1030-3,655
9,c1030-4,647
9,c1030-5,621
10,c1040-1,839
10,c1040-2,865
10,c1040-3,852
10,c1040-4,849
10,c1040-5,836
11,c1050-1,967
11,c1050-2,926
11,c1050-3,1068
11,c1050-4,984
11,c1050-5,940
12,c1060-1,1260
12,c1060-2,1262
12,c1060-3,1246
12,c1060-4,1252
12,c1060-5,1209
